Unix Timestamp,Date,Symbol,Open,High,Low,Close,Volume ETH,Volume USD
1574985600,11/29/19,ETHUSD,151.22,157.98,150.69,154.78,30056.15,4645188.13
1574899200,11/28/19,ETHUSD,152.85,154.82,149.44,151.22,31165.06,4744996.31
1574812800,11/27/19,ETHUSD,147.75,155.96,141.1,152.85,47037.13,7045449.7
1574726400,11/26/19,ETHUSD,146.35,149.82,143.49,147.75,29593.96,4335759.52
1574640000,11/25/19,ETHUSD,140.08,151.77,132,146.35,105290.17,14907152.24
1574553600,11/24/19,ETHUSD,151.94,153.16,138.34,140.08,40047.96,5818703.54
1574467200,11/23/19,ETHUSD,149.79,154.25,146.5,151.94,31431.35,4732616.62
1574380800,11/22/19,ETHUSD,161.01,162.82,138,149.79,102149.99,15339435.51
1574294400,11/21/19,ETHUSD,174.26,175.5,156,161.01,59277.25,9728710.85
1574208000,11/20/19,ETHUSD,175.64,177.32,173.27,174.26,14433.48,2529134.13
1574121600,11/19/19,ETHUSD,177.9,178.07,172.52,175.64,27369.68,4793557.13
1574035200,11/18/19,ETHUSD,183.77,183.84,174.38,177.9,26413.32,4733012.51
1573948800,11/17/19,ETHUSD,182.16,186.25,179.85,183.77,13876.86,2550509.09
1573862400,11/16/19,ETHUSD,179.86,183.16,179.17,182.16,10332.4,1877308.69
1573776000,11/15/19,ETHUSD,184.5,186.6,176.95,179.86,39219.8,7090740.38
1573689600,11/14/19,ETHUSD,187.68,188.39,182.42,184.5,15383.64,2841376.9
1573603200,11/13/19,ETHUSD,186.93,189.81,185.12,187.68,21661.5,4056825.23
1573516800,11/12/19,ETHUSD,184.68,187.37,182,186.93,29097.25,5393792.09
1573430400,11/11/19,ETHUSD,188.9,189.96,183.82,184.68,17253.94,3213552.89
1573344000,11/10/19,ETHUSD,184.85,191.8,183.41,188.9,20371.05,3838205.72
1573257600,11/9/19,ETHUSD,183.64,185.78,182.71,184.85,10000.59,1842204.14
1573171200,11/8/19,ETHUSD,186.34,188.16,180.75,183.64,34484.59,6337117.43
1573084800,11/7/19,ETHUSD,191.06,192.08,184.28,186.34,24647.19,4609304.55
1572998400,11/6/19,ETHUSD,188.7,194.71,188,191.06,24004.1,4581206.3
1572912000,11/5/19,ETHUSD,186.19,192.54,182.62,188.7,42865.2,8065077.74
1572825600,11/4/19,ETHUSD,181.56,189.39,180.32,186.19,29054.99,5388033.36
1572739200,11/3/19,ETHUSD,183,184.93,179.01,181.56,15138.96,2754485.32
1572652800,11/2/19,ETHUSD,183.23,186.07,182.08,183,15284.59,2805990.6
1572566400,11/1/19,ETHUSD,182.45,184.7,177.44,183.23,22256.56,4034075.15
1572480000,10/31/19,ETHUSD,183.54,185.55,177.47,182.45,37759.32,6876182.39
1572393600,10/30/19,ETHUSD,191.13,192.93,179.22,183.54,47602.59,8816429.96
1572307200,10/29/19,ETHUSD,182,193.45,181.79,191.13,46929.87,8834654.45
1572220800,10/28/19,ETHUSD,184,189.9,180.82,182,31560.68,5813594.11
1572134400,10/27/19,ETHUSD,180.22,189.14,177.07,184,39571.81,7274681.04
1572048000,10/26/19,ETHUSD,181.83,199,174.01,180.22,110395.07,20558943.39
1571961600,10/25/19,ETHUSD,160.79,188.17,160.58,181.83,83632,14806236.22
1571875200,10/24/19,ETHUSD,162.37,163.89,158.4,160.79,38159.96,6146856.12
1571788800,10/23/19,ETHUSD,171.29,171.41,153,162.37,87170.46,14098391.33
1571702400,10/22/19,ETHUSD,174.48,175.4,170.52,171.29,19941.29,3444882.84
1571616000,10/21/19,ETHUSD,175.55,178.34,171.53,174.48,31088.08,5421699.11
1571529600,10/20/19,ETHUSD,171.83,176.6,169.45,175.55,26383.72,4552726.97
1571443200,10/19/19,ETHUSD,173,175.41,169.76,171.83,23703.61,4086992.04
1571356800,10/18/19,ETHUSD,177.42,177.42,167.59,173,53136.77,9171232.58
1571270400,10/17/19,ETHUSD,174.39,179.21,172.77,177.42,34198.62,6033762.75
1571184000,10/16/19,ETHUSD,180.52,181.19,171.62,174.39,41333.82,7252458.73
1571097600,10/15/19,ETHUSD,186.78,188.66,177,180.52,53928.9,9809378.36
1571011200,10/14/19,ETHUSD,181.09,187.71,180.54,186.78,35519.63,6538382.82
1570924800,10/13/19,ETHUSD,179.93,184.98,178.79,181.09,20650.57,3760712.53
1570838400,10/12/19,ETHUSD,180.83,184.71,177.68,179.93,29536.21,5358782.7
1570752000,10/11/19,ETHUSD,191.56,197.45,179.61,180.83,67001.65,12568610.74
1570665600,10/10/19,ETHUSD,193.5,194.38,187.95,191.56,33579.41,6428471.72
1570579200,10/9/19,ETHUSD,181,196.2,179.3,193.5,66121.96,12484832.45
1570492800,10/8/19,ETHUSD,180.35,185.34,177.54,181,39275.11,7116424.67
1570406400,10/7/19,ETHUSD,170.33,182.93,168.64,180.42,54200.59,9572118.81
1570320000,10/6/19,ETHUSD,176.58,177.17,167.75,170.33,50525.6,8686623.87
1570233600,10/5/19,ETHUSD,175.82,177.19,171.58,176.58,25429.16,4453298.34
1570147200,10/4/19,ETHUSD,174.79,179.35,171.15,175.82,32228.53,5651733.34
1570060800,10/3/19,ETHUSD,180.88,181.16,170,174.79,55307.31,9642359.04
1569974400,10/2/19,ETHUSD,176.49,181.57,174.1,180.88,35357.78,6271269.7
1569888000,10/1/19,ETHUSD,181.53,185.79,173.09,176.49,74417.13,13398572.7
1569801600,9/30/19,ETHUSD,169.36,181.62,165.22,181.53,80976.94,14054150.88
1569715200,9/29/19,ETHUSD,173.96,174.62,164.47,169.36,38764.34,6534074.57
1569628800,9/28/19,ETHUSD,174.46,175.98,168.02,173.96,38470.37,6656976.58
1569542400,9/27/19,ETHUSD,165.88,177.1,161.06,174.46,62241.95,10488113.31
1569456000,9/26/19,ETHUSD,169.92,170.9,151.86,165.88,99789.68,16281220.4
1569369600,9/25/19,ETHUSD,166.28,174.94,162.28,169.92,89526.4,15030269.73
1569283200,9/24/19,ETHUSD,200.77,202.8,152.4,166.28,190344.44,33559376.96
